data,texto,retweet,idioma,lugar,pais,sigla,latitude,longitude
2020-03-20 16:18:58,Cloroquina é um medicamento usado no tratamento de malária em regiões onde a malária é susceptível ao seu efeito.Em… https://t.co/4el8LD1I1m,0,pt,Boca da Mata,Brazil,BR,-36.2113,-9.645
2020-05-19 19:09:57,"Nesse tempo de isolamento social,não se isole de Deus.Vamos chamar sua presença louvando seu nome com a nossa grand… https://t.co/KkdxgdDF0h",0,pt,Rio de Janeiro,Brazil,BR,-43.37376979,-22.93199689
2020-03-26 23:45:52,COVID-19: BOLETIM ATUALIZADO em Alagoas https://t.co/rqxvOtywFc,0,pt,Taquarana,Brazil,BR,-36.55,-9.57
2020-05-20 23:01:55,"Em épocas de isolamento social, não posso estar perto pra dar um xero no meu sobrinho postiço miguelmelocalil mas a… https://t.co/dViUgw7fIP",0,pt,Sao Paulo,Brazil,BR,-46.6333,-23.55
2020-04-09 22:07:41,Alagoas permanece com 37 casos confirmados de Covid-19. A informação foi divulgada pela Secretária de Saúde do Esta… https://t.co/iwGvdNxIdq,1,pt,Taquarana,Brazil,BR,-36.55,-9.57
2020-04-15 20:54:41,Tenho visto com grande preocupação o comportamento da população lapense ante a pandemia do novo coronavírus (Sars-C… https://t.co/Idndo9uCwv,0,pt,Bom Jesus da Lapa,Brazil,BR,-43.42007,-13.25385
2020-03-19 18:49:01,"#Corona #Coronavírus #Covid #Covid19 #Covid-19 #FiqueEmCasa em João Pessoa, Brazil https://t.co/9vxJcDzOb3",0,pt,João Pessoa,Brazil,BR,-34.8627,-7.1207
2020-03-18 23:29:23,😷🦠 Amor em tempo de #coronavirus.  #TamoJuntoEIsolado | Campanha do @mineirao para espalhar que “não é sobre pegar;… https://t.co/ikvZheVlpI,3,pt,Belo Horizonte,Brazil,BR,-43.9387,-19.9191
2020-04-15 23:42:30,Quando você tem 100 e não 15 metros pra correr... 🏠🏃🏼‍♂️ em Quarentena https://t.co/2tYBnvSBGP,0,pt,Magé,Brazil,BR,-43.185902,-22.58697735
2020-04-06 19:11:46,"Pacientes de Goiás e de outros estados já podem ser atendidos remotamente por médicos especialistas, inclusive infe… https://t.co/C5zX3BzAnB",0,pt,Goiânia,Brazil,BR,-49.27433098,-16.68640494
2020-03-19 18:35:34,Com a crise do #covid_19 temos que lavar as mãos mas não esqueça de fechar a torneira enquanto ensaboa sua mão para… https://t.co/EGamFhGHYr,0,pt,Sao Paulo,Brazil,BR,-46.6333,-23.55
2020-03-21 17:52:32,"Dois ou três?  🦠🤷🏼‍♂️ #covid19 #coronavirus #jornal #newspaper #serranegra em Serra Negra, Sao Paulo, Brazil https://t.co/lyfOiYEeTZ",0,pt,Serra Negra,Brazil,BR,-46.70165,-22.61411
2020-04-03 21:31:41,↘ Hospital Regional do Cariri tem 15 internados e um paciente entubado com suspeita de coronavírus. A região do Car… https://t.co/A2Bo0hL75u,0,pt,Juazeiro do Norte,Brazil,BR,-39.315,-7.21277778
2020-03-21 23:31:34,"DIA 24/3, 21:00 horas LIVE no perfil da Dra Raquel Arias https://t.co/Y9QhPQSFfV falando sobre o funcionamento do T… https://t.co/cvFVFOIePO",0,pt,Santos,Brazil,BR,-46.325,-23.9354
2020-04-14 15:36:59,"Pessoal e nossa sequência de Lives continua essa semana, hoje não percam hein!! paulo_lagana #juntossomosmaisfortes… https://t.co/HQNIdC5Ipl",0,pt,Sao Paulo,Brazil,BR,-46.68566,-23.62686
2020-04-06 19:43:50,Governo Federal aportará R$ 34 bilhões para que pequenas e médias empresas brasileiras possam manter as folhas de p… https://t.co/pITRVITfkE,0,pt,Maceió,Brazil,BR,-35.71621432,-9.5842925
2020-05-30 15:46:27,"O prefeito de Bom Jesus da Lapa-Bahia, Eures Ribeiro, informou em sua live nessa manhã de sábado 30/05/2020, que os… https://t.co/herJvZUQom",0,pt,Bom Jesus da Lapa,Brazil,BR,-43.42007,-13.25385
2020-03-18 12:34:39,#usodemascara contra a disseminação do COVID-19. em Montes Claros https://t.co/xRxHUMtuSy,0,pt,Montes Claros,Brazil,BR,-43.8636,-16.7322
